ID   Trainer                        #  Original        BST  --> Replacement     BST  Diff% 
71   Cathy                          0  Jigglypuff      270  --> Pidove          264  -2.2%
71   Cathy                          1  Jigglypuff      270  --> Marill          250  -7.4%
71   Cathy                          2  Jigglypuff      270  --> Slakoth         280  +3.7%
72   Bryan                          0  Pidgey          251  --> Wingull         270  +7.6%
72   Bryan                          1  Pidgeotto       349  --> Buizel          330  -5.4%
73   Theo                           0  Pidgey          251  --> Ledyba          265  +5.6%
73   Theo                           1  Pidgey          251  --> Skwovet         275  +9.6%
73   Theo                           2  Pidgey          251  --> -----           240  -4.4%
73   Theo                           3  Pidgey          251  --> Wiglett         245  -2.4%
73   Theo                           4  Pidgey          251  --> Charcadet       255  +1.6%
74   Ivan                           0  Diglett         265  --> Morelull        285  +7.5%
74   Ivan                           1  Zubat           245  --> Starly          245  +0.0%
74   Ivan                           2  Diglett         265  --> Tynamo          275  +3.8%
75   Elliot                         0  Sandshrew       300  --> Shelmet         305  +1.7%
75   Elliot                         1  Marill          250  --> Wiglett         245  -2.0%
76   Brooke                         0  Pikachu         320  --> Zorua           330  +3.1%
76   Brooke                         1  Cubone          320  --> -----           303  -5.3%
77   Kim                            0  Vulpix          299  --> Skwovet         275  -8.0%
78   Arnie                          0  Venonat         305  --> Torchic         310  +1.6%
79   Ken                            0  Ariados         400  --> Pyukumuku       410  +2.5%
79   Ken                            1  Pinsir          500  --> Sawk            465  -7.0%
80   Dirk                           0  Growlithe       350  --> Dwebble         325  -7.1%
80   Dirk                           1  Growlithe       350  --> Drifloon        348  -0.6%
81   Tori & Til                     0  Marill          250  --> Dreepy          270  +8.0%
81   Tori & Til                     1  Mareep          280  --> Shinx           263  -6.1%
82   Toby                           0  Doduo           310  --> Barboach        288  -7.1%
82   Toby                           1  Doduo           310  --> Charmander      309  -0.3%
82   Toby                           2  Doduo           310  --> Corphish        308  -0.6%
83   Cindy                          0  Nidoqueen       505  --> -----           490  -3.0%
83   Cindy                          1  Arbok           448  --> -----           472  +5.4%
84   Barry                          0  Nidoking        505  --> -----           472  -6.5%
84   Barry                          1  Bastiodon       495  --> Poliwrath       510  +3.0%
85   Paula                          0  Staryu          340  --> Spinda          360  +5.9%
85   Paula                          1  Shellder        305  --> -----           300  -1.6%
86   Randall                        0  Shellder        305  --> Snubbull        300  -1.6%
86   Randall                        1  Nidorino        365  --> Mawile          380  +4.1%
86   Randall                        2  Wartortle       405  --> Dedenne         431  +6.4%
86   Randall                        3  Jigglypuff      270  --> Skwovet         275  +1.9%
86   Randall                        4  Shellder        305  --> Glameow         310  +1.6%
86   Randall                        5  Nidorino        365  --> Trubbish        329  -9.9%
87   Mickey                         0  Haunter         405  --> Fraxure         410  +1.2%
88   Mickey                         0  Gastly          310  --> -----           320  +3.2%
88   Mickey                         1  Gastly          310  --> -----           325  +4.8%
88   Mickey                         2  Gastly          310  --> Smoochum        305  -1.6%
88   Mickey                         3  Gastly          310  --> Froakie         314  +1.3%
88   Mickey                         4  Gastly          310  --> Stunky          329  +6.1%
89   Grace                          0  Haunter         405  --> Plusle          405  +0.0%
89   Grace                          1  Haunter         405  --> Sunflora        425  +4.9%
90   Kaylee                         0  Goldeen         320  --> Binacle         306  -4.4%
90   Kaylee                         1  Kadabra         400  --> Floette         371  -7.2%
90   Kaylee                         2  Goldeen         320  --> Dratini         300  -6.2%
90   Kaylee                         3  Kadabra         400  --> -----           411  +2.8%
90   Kaylee                         4  Seaking         450  --> Magmar          495  +10.0%
90   Kaylee                         5  Kadabra         400  --> Pyukumuku       410  +2.5%
91   Susie                          0  Psyduck         320  --> -----           303  -5.3%
91   Susie                          1  Haunter         405  --> Minun           405  +0.0%
91   Susie                          2  Goldeen         320  --> Shelmet         305  -4.7%
91   Susie                          3  Nidorina        365  --> Staryu          340  -6.8%
92   Denise                         0  Seel            325  --> Chespin         313  -3.7%
93   Kara                           0  Staryu          340  --> -----           315  -7.4%
93   Kara                           1  Starmie         520  --> Skuntank        479  -7.9%
94   Wendy                          0  Horsea          295  --> Gothita         290  -1.7%
94   Wendy                          1  Poliwhirl       385  --> Wobbuffet       405  +5.2%
94   Wendy                          2  Horsea          295  --> Meditite        280  -5.1%
94   Wendy                          3  Poliwhirl       385  --> Porygon         395  +2.6%
95   Charlie                        0  Shellder        305  --> -----           299  -2.0%
95   Charlie                        1  Tentacool       335  --> Luxio           363  +8.4%
95   Charlie                        2  Tentacruel      515  --> Dachsbun        477  -7.4%
96   George                         0  Tentacool       335  --> Dolliv          354  +5.7%
96   George                         1  Tentacool       335  --> -----           320  -4.5%
96   George                         2  Tentacool       335  --> Chespin         313  -6.6%
96   George                         3  Staryu          340  --> Woobat          323  -5.0%
96   George                         4  Tentacool       335  --> -----           320  -4.5%
96   George                         5  Remoraid        300  --> Mudkip          310  +3.3%
97   Berke                          0  Qwilfish        440  --> -----           476  +8.2%
98   Ronald                         0  Gyarados        540  --> Tapu Koko       570  +5.6%
98   Ronald                         1  Gyarados        540  --> Starmie         520  -3.7%
99   Matthew                        0  Krabby          325  --> -----           308  -5.2%
100  Anthony                        0  Graveler        390  --> -----           371  -4.9%
100  Anthony                        1  Machoke         405  --> Beautifly       395  -2.5%
101  Grunt                          0  Rattata         253  --> Shedinja        236  -6.7%
101  Grunt                          1  Rattata         253  --> Venipede        260  +2.8%
102  Gaven                          0  Victreebel      490  --> Gallade         518  +5.7%
102  Gaven                          1  Graveler        390  --> -----           411  +5.4%
102  Gaven                          2  Kingler         475  --> Lokix           450  -5.3%
102  Gaven                          3  Bellossom       490  --> Garganacl       500  +2.0%
102  Gaven                          4  Flareon         525  --> Rhyperior       535  +1.9%
102  Gaven                          5  Meowth          290  --> Electrike       295  +1.7%
103  Blake                          0  Magneton        465  --> Excadrill       508  +9.2%
103  Blake                          1  Exeggutor       530  --> -----           519  -2.1%
103  Blake                          2  Quagsire        430  --> Mothim          424  -1.4%
103  Blake                          3  Muk             500  --> Electabuzz      490  -2.0%
103  Blake                          4  Exeggcute       325  --> Binacle         306  -5.8%
103  Blake                          5  Golem           495  --> Victreebel      490  -1.0%
104  Brian                          0  Mareep          280  --> Greavard        290  +3.6%
104  Brian                          1  Nidorino        365  --> Nidorina        365  +0.0%
105  Mickey                         0  Bulbasaur       318  --> Numel           305  -4.1%
105  Mickey                         1  Charmander      309  --> Smoochum        305  -1.3%
105  Mickey                         2  Squirtle        314  --> Swirlix         341  +8.6%
106  Mickey                         0  Bulbasaur       318  --> Bagon           300  -5.7%
106  Mickey                         1  Charmander      309  --> Elgyem          335  +8.4%
106  Mickey                         2  Squirtle        314  --> -----           320  +1.9%
107  Mickey                         0  Bulbasaur       318  --> -----           320  +0.6%
107  Mickey                         1  Charmander      309  --> Tentacool       335  +8.4%
107  Mickey                         2  Squirtle        314  --> Riolu           285  -9.2%
108  Ryan                           0  Pidgeot         479  --> Krookodile      519  +8.4%
108  Ryan                           1  Pidgeotto       349  --> Swirlix         341  -2.3%
108  Ryan                           2  Electabuzz      490  --> Maractus        461  -5.9%
108  Ryan                           3  Exeggutor       530  --> Pheromosa       570  +7.5%
109  Alton                          0  Ivysaur         405  --> Pupitar         410  +1.2%
109  Alton                          1  Charmeleon      405  --> Pyukumuku       410  +1.2%
109  Alton                          2  Wartortle       405  --> -----           411  +1.5%
110  Paulo                          0  Dratini         300  --> Finizen         315  +5.0%
110  Paulo                          1  Seadra          440  --> Ribombee        464  +5.5%
110  Paulo                          2  Dratini         300  --> -----           303  +1.0%
111  Mike                           0  Dragonair       420  --> -----           420  +0.0%
112  Cody                           0  Horsea          295  --> Sewaddle        310  +5.1%
112  Cody                           1  Seadra          440  --> Cosmoem         400  -9.1%
113  Jamie                          0  Rapidash        500  --> -----           490  -2.0%
113  Jamie                          1  Hypno           483  --> Bastiodon       495  +2.5%
113  Jamie                          2  Flaaffy         365  --> -----           335  -8.2%
113  Jamie                          3  Cascoon         205  --> Weedle          195  -4.9%
114  Reena                          0  Growlithe       350  --> Toedscool       335  -4.3%
114  Reena                          1  Nidorina        365  --> Pumpkaboo       335  -8.2%
114  Reena                          2  Staryu          340  --> Houndour        330  -2.9%
115  Megan                          0  Bulbasaur       318  --> Croagunk        300  -5.7%
115  Megan                          1  Graveler        390  --> -----           411  +5.4%
115  Megan                          2  Ivysaur         405  --> Ledian          390  -3.7%
115  Megan                          3  Slowbro         490  --> Kabutops        495  +1.0%
115  Megan                          4  Venusaur        525  --> Ampharos        510  -2.9%
115  Megan                          5  Tentacruel      515  --> Mamoswine       530  +2.9%
116  Lois                           0  Mareep          280  --> Shuppet         295  +5.4%
116  Lois                           1  Cascoon         205  --> Cosmog          200  -2.4%
116  Lois                           2  Ninetales       505  --> -----           470  -6.9%
116  Lois                           3  Pachirisu       405  --> Clodsire        430  +6.2%
117  Lola                           0  Dratini         300  --> Binacle         306  +2.0%
117  Lola                           1  Dragonair       420  --> -----           411  -2.1%
118  Kate                           0  Shellder        305  --> -----           320  +4.9%
118  Kate                           1  Cloyster        525  --> Luxray          523  -0.4%
119  Fran                           0  Seadra          440  --> -----           450  +2.3%
120  Irene                          0  Goldeen         320  --> -----           308  -3.8%
120  Irene                          1  Seaking         450  --> Linoone         420  -6.7%
121  Kelly                          0  Marill          250  --> Shedinja        236  -5.6%
121  Kelly                          1  Wartortle       405  --> Wobbuffet       405  +0.0%
121  Kelly                          2  Wartortle       405  --> -----           425  +4.9%
122  Marvin                         0  Magikarp        200  --> Cascoon         205  +2.5%
122  Marvin                         2  Gyarados        540  --> -----           500  -7.4%
122  Marvin                         4  Magikarp        200  --> Tyrogue         210  +5.0%
123  Tully                          0  Qwilfish        440  --> Lumineon        460  +4.5%
124  Wilton                         0  Goldeen         320  --> Finneon         330  +3.1%
124  Wilton                         1  Goldeen         320  --> Vulpix          299  -6.6%
124  Wilton                         2  Seaking         450  --> Ninjask         456  +1.3%
125  Edgar                          0  Remoraid        300  --> -----           315  +5.0%
125  Edgar                          1  Poliwhirl       385  --> Farfetch’d      377  -2.1%
125  Edgar                          2  Remoraid        300  --> Sinistea        308  +2.7%
125  Edgar                          3  Poliwhirl       385  --> Delcatty        400  +3.9%
126  Andre                          0  Gyarados        540  --> Carbink         500  -7.4%
127  Raymond                        0  Magikarp        200  --> Nymble          210  +5.0%
127  Raymond                        1  Magikarp        200  --> Cascoon         205  +2.5%
127  Raymond                        2  Magikarp        200  --> Scatterbug      200  +0.0%
127  Raymond                        3  Magikarp        200  --> Caterpie        195  -2.5%
128  Jonah                          0  Shellder        305  --> -----           320  +4.9%
128  Jonah                          1  Octillery       480  --> Espathra        481  +0.2%
128  Jonah                          2  Remoraid        300  --> Solosis         290  -3.3%
128  Jonah                          3  Cloyster        525  --> Toucannon       485  -7.6%
129  Shane                          0  Nidorina        365  --> Magby           365  +0.0%
129  Shane                          1  Nidorino        365  --> Skiploom        340  -6.8%
130  Beckett                        0  Slowbro         490  --> Toedscruel      515  +5.1%
131  Brent                          0  Nidorina        365  --> Yanma           390  +6.8%
131  Brent                          1  Nidorino        365  --> Nidorina        365  +0.0%
132  Ron                            0  Nidoking        505  --> Veluza          478  -5.3%
133  Morgan                         0  Rhyhorn         345  --> Cranidos        350  +1.4%
133  Morgan                         1  Rhydon          485  --> Jellicent       480  -1.0%
134  Benjamin                       0  Diglett         265  --> Rattata         253  -4.5%
134  Benjamin                       1  Geodude         300  --> Pansage         316  +5.3%
134  Benjamin                       2  Dugtrio         425  --> Marshtomp       405  -4.7%
135  Johnny                         0  Bellsprout      300  --> Trubbish        329  +9.7%
135  Johnny                         1  Weepinbell      390  --> -----           411  +5.4%
135  Johnny                         2  Victreebel      490  --> Annihilape      535  +9.2%
136  Linda                          0  Bulbasaur       318  --> Solosis         290  -8.8%
136  Linda                          1  Ninetales       505  --> Swalot          467  -7.5%
136  Linda                          2  Ivysaur         405  --> Pincurchin      435  +7.4%
136  Linda                          3  Ninetales       505  --> Froslass        480  -5.0%
136  Linda                          4  Venusaur        525  --> Magmar          495  -5.7%
136  Linda                          5  Ninetales       505  --> Blaziken        530  +5.0%
137  Vance                          0  Hoothoot        262  --> Nidoran[F]      275  +5.0%
137  Vance                          1  Pidgeotto       349  --> Slowpoke        315  -9.7%
138  Mickey                         0  Nidorino        365  --> Houndour        330  -9.6%
139  Debra                          0  Seaking         450  --> Floatzel        495  +10.0%
140  Doug                           0  Butterfree      395  --> Hakamo-o        420  +6.3%
140  Doug                           1  Ariados         400  --> Chatot          411  +2.8%
141  Mickey                         0  Nidorino        365  --> -----           335  -8.2%
142  Gina                           0  Hoppip          250  --> Spearow         262  +4.8%
142  Gina                           1  Hoppip          250  --> Tynamo          275  +10.0%
142  Gina                           2  Ivysaur         405  --> Medicham        410  +1.2%
143  Erik                           0  Machop          305  --> Smoochum        305  +0.0%
143  Erik                           1  Graveler        390  --> Nosepass        375  -3.8%
143  Erik                           2  Machop          305  --> -----           308  +1.0%
144  Michael                        0  Geodude         300  --> Tandemaus       305  +1.7%
144  Michael                        1  Graveler        390  --> Dunsparce       415  +6.4%
144  Michael                        2  Golem           495  --> Hawlucha        500  +1.0%
145  Parry                          0  Onix            385  --> Wailmer         400  +3.9%
146  Timothy                        0  Diglett         265  --> Paras           285  +7.5%
146  Timothy                        1  Torterra        525  --> Revavroom       500  -4.8%
146  Timothy                        2  Dugtrio         425  --> Aromatisse      462  +8.7%
146  Timothy                        3  Torterra        525  --> Gengar          500  -4.8%
147  Ted                            0  Mankey          305  --> Silicobra       315  +3.3%
148  Lloyd                          0  Nidoking        505  --> Crabomnabl      478  -5.3%
149  Dean                           0  Golduck         500  --> Boltund         490  -2.0%
149  Dean                           1  Sandslash       450  --> Combusken       405  -10.0%
150  Sid                            0  Dugtrio         425  --> -----           440  +3.5%
150  Sid                            1  Primeape        455  --> -----           495  +8.8%
150  Sid                            2  Poliwrath       510  --> Mudsdale        500  -2.0%
151  Erin                           0  Ponyta          410  --> Shiinotic       405  -1.2%
151  Erin                           1  Oddish          320  --> Cyndaquil       309  -3.4%
152  Hope                           0  Flaaffy         365  --> Chinchou        330  -9.6%
153  Sharon                         0  Furret          415  --> Sandslash       450  +8.4%
153  Sharon                         1  Rapidash        500  --> -----           494  -1.2%
154  Bailey                         0  Geodude         300  --> Capsakid        304  +1.3%
154  Bailey                         1  Geodude         300  --> Petilil         280  -6.7%
154  Bailey                         2  Geodude         300  --> Gimmighoul      300  +0.0%
154  Bailey                         3  Geodude         300  --> Nidoran[F]      275  -8.3%
154  Bailey                         4  Geodude         300  --> Gible           300  +0.0%
155  Anthony                        0  Graveler        390  --> Emolga          428  +9.7%
155  Anthony                        1  Graveler        390  --> Grovyle         405  +3.8%
155  Anthony                        2  Machoke         405  --> Yanma           390  -3.7%
156  Yoshi                          0  Hitmonlee       455  --> Kecleon         440  -3.3%
156  Yoshi                          1  Horsea          295  --> Bonsly          290  -1.7%
157  Lao                            0  Hitmonchan      455  --> Torracat        420  -7.7%
157  Lao                            1  Squirtle        314  --> -----           290  -7.6%
158  Kiyo                           0  Hitmonlee       455  --> -----           500  +9.9%
158  Kiyo                           1  Hitmonchan      455  --> Raticate        413  -9.2%
159  Lung                           0  Mankey          305  --> Bergmite        304  -0.3%
159  Lung                           1  Mankey          305  --> Budew           280  -8.2%
159  Lung                           2  Primeape        455  --> Torkoal         470  +3.3%
160  Naoko                          0  Espeon          525  --> Klinklang       520  -1.0%
161  Sayo                           0  Jolteon         525  --> Zoroark         510  -2.9%
161  Sayo                           1  Cubone          320  --> Carvanha        305  -4.7%
162  Zuki                           0  Umbreon         525  --> Nidoking        505  -3.8%
162  Zuki                           1  Koffing         340  --> Corvsquire      365  +7.4%
163  Kuni                           0  Vaporeon        525  --> -----           480  -8.6%
163  Kuni                           1  Krabby          325  --> Klink           300  -7.7%
164  Miki                           0  Flareon         525  --> Tinkaton        506  -3.6%
164  Miki                           1  Krabby          325  --> -----           300  -7.7%
165  Mickey                         0  Jynx            455  --> Metang          420  -7.7%
166  Mickey                         0  Dewgong         475  --> Hypno           483  +1.7%
167  Mickey                         0  Seaking         450  --> Drakloak        410  -8.9%
168  Mickey                         0  Seel            325  --> Venonat         305  -6.2%
168  Mickey                         1  Dewgong         475  --> Tatsugiri       475  +0.0%
168  Mickey                         2  Seel            325  --> Joltik          319  -1.8%
